ID;IBANmetBIC;IBANzonderBIC;Categorie;Naam
34;RABONL2U NL41RABO0108378969;NL41RABO0108378969;Politieke opvattingen;Piratenpartij (Piratenpartij)
35;INGBNL2A NL84INGB0004663141;NL84INGB0004663141;Politieke opvattingen;50PLUS (50PLUS)
36;;0;Politieke opvattingen;Libertarische Partij (LP)
37;INGBNL2A NL95INGB0008029425;NL95INGB0008029425;Politieke opvattingen;JEZUS LEEFT (JEZUS LEEFT)
38;ABNANL2A NL87ABNA0573429723;NL87ABNA0573429723;Politieke opvattingen;Politieke Partij voor Basis Inkomen (Basisinkomen Partij ,BIpartij)
39;INGBNL2A NL29INGB0006425360;NL29INGB0006425360;Politieke opvattingen;Vereniging Vrede en Recht (Vrede en Recht)
40;TRIONL2U NL43TRIO0788802003;NL43TRIO0788802003;Politieke opvattingen;Vrijzinnige Partij (VP)
41;;0;Politieke opvattingen;Politieke beweging DENK (DENK)
42;;0;Politieke opvattingen;Vrije Democratische Partij (VDP)
43;INGBNL2A NL96INGB0007466225;NL96INGB0007466225;Politieke opvattingen;Forum voor Democratie (Forum voor Democratie)
44;INGBNL2A NL91INGB0007387163;NL91INGB0007387163;Politieke opvattingen;Vereniging voor Niet-Stemmers (Niet Stemmers)
45;;0;Politieke opvattingen;Ondernemers Partij (OndernemersPartij)
46;;0;Politieke opvattingen;Lokaal Brabant (Lokaal in de Kamer)
47;;0;Politieke opvattingen;StemNL (StemNL)
48;INGBNL2A NL59INGB0007179771;NL59INGB0007179771;Politieke opvattingen;Politieke Partij GeenPeil (GeenPeil)
49;TRIONL2U NL38TRIO0338457186;NL38TRIO0338457186;Politieke opvattingen;De Burger Beweging (De Burger Beweging)
50;TRIONL2U NL91TRIO0788761854;NL91TRIO0788761854;Politieke opvattingen;BIJ1 (BIJ1)
51;;0;Politieke opvattingen;NIEUWE WEGEN (NIEUWE WEGEN)
52;;0;Politieke opvattingen;Liberale Partij (Liberale Partij)
53;;0;Politieke opvattingen;Vereniging voor Jonge Politiek in Nederland (JONG)
54;INGBNL2A NL48INGB0006860936;NL48INGB0006860936;Politieke opvattingen;De Republikeinen (De Republikeinen)
55;ABNANL2A NLABNA0571512232;NL49ABNA0571512232;Politieke opvattingen;Trots op Nederland Lijst Rita Verdonk (Trots op Nederland, TROTS)
56;;0;Politieke opvattingen;Humanistische Partij Nederland (Humanistische Partij Nederland)
57;INGBNL2A NL29INGB0006391313;NL29INGB0006391313;Politieke opvattingen;Nieuwe Communistische Partij-NCPN (Nieuwe Communistische Partij-NCPN)
58;;0;Politieke opvattingen;De Groenen (De Groenen)
59;ASNBNL21NL29ASNB8810975464;NL29ASNB8810975464;Politieke opvattingen;Atheïstisch Seculiere Partij (ASP)
60;;0;Politieke opvattingen;Verenigde Senioren Partij (Verenigde Senioren Partij)
61;;0;Politieke opvattingen;Ouderen Politiek Actief (OPA)
62;;0;Politieke opvattingen;SAMEN Alle Mensen Één Nederland (SAMEN)
63;;0;Politieke opvattingen;KRUIS 33 (KRUIS 33)
64;;0;Politieke opvattingen;Code Oranje (Code Oranje)
65;;0;Politieke opvattingen;Partij voor behoud van de Nederlandse identiteit (PVBNI)
66;INGBNL2A NL48INGB0652910424;NL48INGB0652910424;Politieke opvattingen;Liberaal Democratische Partij (LibDem)
67;;0;Politieke opvattingen;Nederland Beter (NLBeter!)
68;BUNQNL2ANL46BUNQ2042769185;NL46BUNQ2042769185;Politieke opvattingen;Partij 18PLUS (Partij 18PLUS)
69;RABONL2U NL43RABO0314571930;NL43RABO0314571930;Politieke opvattingen;BoerBurgerBeweging (BBB)
70;INGBNL2A NL69INGB0006417074;NL69INGB0006417074;Politieke opvattingen;GO (GO)
71;;0;Politieke opvattingen;Partij voor de Bomen (PvdB)
72;;0;Politieke opvattingen;Kiesvereniging van de Regio  (Platform voor Plaatselijke Belangen)
73;;;Vakbond;AC - Ambtenarencentrum overkoepelend orgaan van aantal Rijksbonden
74;;;Vakbond;ANPV - Vakbond voor politiepersoneel
75;;;Vakbond;ABGP - Vakbond voor gemeentepersoneel.
76;;;Vakbond;VBM - Vakbond voor defensiepersoneel
77;;;Vakbond;, een defensiebrede vakbond gericht op defensiemedewerkers met een contract voor bepaalde tijd.
78;;;Vakbond;VPW - Vakbond voor medewerkers bij het Ministerie I&M
79;;;Vakbond;NCF - Vakbond voor medewerkers bij Ministerie van Financien
80;;;Vakbond;Juvox - Vakbond voor medewerkers bij Ministerie van V&J
81;;;Vakbond;AVV - Alternatief voor Vakbond
82;;;Vakbond;BTP - Bond van Telecompersoneel
83;;;Vakbond;BVPP - Bond voor Post Personeel, vakbond voor medewerkers in de postbranche
84;;;Vakbond;CGMV - voorheen Christennetwerk / GMV
85;;;Vakbond;CNV - Christelijk Nationaal Vakverbond, met als aangesloten bonden
86;;;Vakbond;ACOM
87;;;Vakbond;CNV BKM
88;;;Vakbond;CNV Dienstenbond
89;;;Vakbond;CNV Jongeren
90;;;Vakbond;CNV Kosterbond
91;;;Vakbond;CNV Onderwijs
92;;;Vakbond;CNV Publieke Zaak
93;;;Vakbond;CNV Vakmensen (135.000 leden)
94;;;Vakbond;CNV Zelfstandigen
95;;;Vakbond;DVB- De Vrije Bond - anarchistische zelforganisatie
96;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV - Federatie Nederlandse Vakbeweging, dat enerzijds een vakbond, anderzijds een vakbondsfederatie is geworden, met als aangesloten bonden
97;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;AFMP/FNV Veiligheid (Algemene Federatie van Militair Personeel)
98;;;Vakbond;ANBO (Algemene Nederlandse Bond voor Ouderen)
99;;;Vakbond;Algemene Onderwijsbond (AOb) 
100;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Bouw (Bouw & Infra, Afbouw & Onderhoud, Meubel & Hout, Woondiensten, Waterbouw)
101;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Horecabond
102;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV KIEM (grafische/prepublishing, uitgeverijen, audiovisuele, verpakkingen en/of kunstensector)
103;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Mooi (Kappers, Schoonheidsspecialisten, Visagisten, Pedicures, Nagelstylisten en Wellness) (ook zzp'ers)
104;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;Marechausseevereniging (MARVER)/FNV Veiligheid, gericht op medewerkers van de Koninklijke Marechaussee 
105;;;Vakbond;Nautilus NL (werknemers in de maritieme sector) (6.000 leden)
106;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Jong (3000 leden)
107;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Sport (1.100 leden)
108;;;Vakbond;NL Sportea (De bond voor alle andere topsporters dan de profvoetballers)
109;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;Nederlandse Politiebond (NPB)/FNV Veiligheid (24.000 leden)
110;;;Vakbond;NVJ (Nederlandse Vereniging van Journalisten) (8.000 leden)
111;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Vrouwenbond (4.000 leden)
112;;;Vakbond;VVCS (Vereniging van Contractspelers)
113;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV ZBo (voor zzp'ers in de bouw en hout) (10.000 leden)
114;INGBNL2A NL95INGB0000727750;NL95INGB0000727750;Vakbond;FNV Zelfstandigen (13.000 leden)
115;INGBNL2A NL71INGB0000072462;NL71INGB0000072462;Vakbond;FNV 
116;INGBNL2A NL81INGB0000294606;NL81INGB0000294606;Vakbond;FNV 
117;RABONL2U NL74RABO0117246212;NL74RABO0117246212;Vakbond;FNV 
118;RABONL2U NL11RABO0118141880;NL11RABO0118141880;Vakbond;FNV 
119;;;Vakbond;HZC - Vakvereniging Het Zwarte Corps (vakbond voor machinegebonden personeel)
120;;;Vakbond;Kunstenbond - Vakbond voor beeldende kunstenaars, musici, podiumkunsten, grafische ontwerpers, kunsteducatie en meer
121;;;Vakbond;LBV - fusie van verschillende kleinere vakbonden: FHV, OVB-Verkeer, enzovoort
122;;;Vakbond;LSVb - Landelijke Studentenvakbond
123;;;Vakbond;NCF - Nederlandse Categoriale vakvereniging Financiën voor medewerkers bij het Ministerie van Financiën, Belastingdienst en Douane
124;;;Vakbond;"Ntb - Nederlandse Toonkunstenaarsbond (zelfstandige vakbond voor musici en artiesten; sinds 1919)"
125;;;Vakbond;NVB - Nederlandse Vervoers Bond
126;;;Vakbond;NAV - Nederlandse Akkerbouw Vakbond
127;;;Vakbond;NMV - Nederlandse Melkveehouders Vakbond
128;;;Vakbond;NVP - Nederlandse Vakbond Pluimveehouders
129;;;Vakbond;OVB - Onafhankelijk Verbond van Bedrijfsorganisaties
130;;;Vakbond;RMU - Reformatorisch Maatschappelijke Unie
131;;;Vakbond;De Unie
132;;;Vakbond;Vakbond ABW - (Algemene Bond van Werknemers)
133;;;Vakbond;VCP - Vakcentrale voor Professionals, met als aangesloten bonden 
134;;;Vakbond;ACP, politievakbond
135;;;Vakbond;CMHF - (Centrale van Middelbare en Hogere Functionarissen bij Overheid, Onderwijs, Bedrijven en Instellingen)
136;;;Vakbond;FvOv - Federatie van Onderwijsvakorganisaties
137;;;Vakbond;GOV MHB - Gezamenlijke OfficierenVerenigingen & Middelbaar en Hoger Burgerpersoneel bij Defensie
138;;;Vakbond;KVMO - Koninklijke Vereniging van Marineofficieren
139;;;Vakbond;KVNRO - Koninklijke Vereniging van Nederlandse Reserve Officieren
140;;;Vakbond;NOV - Nederlandse Officieren Vereniging
141;;;Vakbond;NU'91 - Vakbond voor de verpleging en verzorging
142;;;Vakbond;ODB - Onafhankelijke Defensie Bond, vakbond voor (voormalig) militair en burger defensiepersoneel, alsmede hun nabestaanden
143;;;Vakbond;VAWO - (Vakbond voor de wetenschap), vakorganisatie voor personeel van universiteiten, onderzoeksinstellingen en universitair medische centra
144;;;Vakbond;VCPS (Vakvereniging voor de Collectieve en gePrivatiseerde Sector)
145;;;Vakbond;WVHMF - Vereniging van Hogere ambtenaren bij het Ministerie van Financiën
146;;;Vakbond;VHP2 - vakorganisatie voor middelbaar en hoger personeel in de techniek
147;;;Vakbond;NVLT - Nederlandse Vereniging van Luchtvaart Technici
148;;;Vakbond;VHKP - Vereniging van Hoger KLM Personeel
149;;;Vakbond;VNV - Vereniging van Nederlandse Verkeersvliegers
150;;;Vakbond;VLD - Vakbeweging in Vervoer, Logistiek en Dienstverlening
151;;;Vakbond;VNC - Vakbond van Nederlands Cabinepersoneel
152;;;Vakbond;VVMC - (Vakbond voor Rijdend Personeel)
153;;;Vakbond;W.I.M. - Werknemersvereniging IKEA Medewerkers
154;;;Religieus;Hervormd Kercentrum 't Lichtschip
155;;;Religieus;Ontmoetingskerk
156;;;Religieus;"Hoeksteencomm. Kerkcentrum ""De Hoeksteen"""
157;;;Religieus;Deputaatschap voor Evangelisatie
158;;;Religieus;Gereformeerde Kerk Vrijgemaakt Hasselt
159;;;Religieus;K.R.I.K (Kreatief in Kerk)
160;;;Religieus;St Kerken en Mensen Verstand. Handicap N-Ned.
161;;;Religieus;Stichting Haagse Migranten Kerken
162;;;Religieus;STICHTING KERK EN SAMENLEVING ZEIST
163;;;Religieus;St.Parochiebel.Rus.Orth.Kerk Maria van Egypte
164;;;Religieus;Steunpunt Kerkenwerk
165;;;Religieus;Oecumenische Vereniging de Zendingskerk
166;;;Religieus;Spirituele Vereniging Kerkrade
167;;;Religieus;Stichting Kerk en School te Zwolle
168;;;Religieus;Protestantse St. Kerkelijk Ontmoetingscentrum
169;;;Religieus;Kerkelijk Bureau Oud Geref.Gem.in Nederland
170;;;Religieus;St. Bethel Pinksterkerk
171;;;Religieus;Stichting Kloosterkerk
172;;;Religieus;Stichting Grote Kerk
173;;;Religieus;Nijkerkse Apotheken B.V.
174;;;Religieus;Huisartsenpraktijk Meerkerk
175;;;Religieus;Armeens Apostolische Kerk Amsterdam
176;;;Religieus;Kerk Zonder Grenzen
177;;;Religieus;St. voor Kerk en Samenleving Noord-Holland
178;;;Religieus;St.Int.Spirt.Leiding vh Kerkgen.Lectorium.Ros
179;;;Religieus;Stichting Interkerk
180;;;Religieus;Hervormde St Oecumenisch Centrum Michaelskerk
181;;;Religieus;Stg. Oecumenische Studentenkerk Nijmegen
182;;;Religieus;Ver. Marok.Mosl. Moskee Alhouda Venlo/Tegelen
183;;;Religieus;Islam. Ver. Moskee Attakwa
184;;;Religieus;Gultepe Moskee Turkse Islam Jongeren Ver.
185;;;Religieus;Moskee Elfath
186;;;Religieus;St. De Moskee Rhama
187;;;Religieus;Marokk. Islamit Vereniging El-Hassani Moskee
188;;;Religieus;Ulu Moskee
189;;;Religieus;St. Islamitisch Centrum Moskee El Mohsenin
190;;;Religieus;Stichting Moskee El Islam
191;;;Religieus;Islamitische Culturele St. Ayasofya Moskee
192;;;Religieus;Stichting Moskee Nasser
193;;;Religieus;Stichting Islamitische Moskee
194;;;Religieus;Stichting Beheer Synagoge
195;;;Religieus;Protestantse Gemeente Doorwerth/Heveadorp
196;;;Religieus;Protestantse Evangelisatie Nieuwlande
197;;;Religieus;Vrijzinnige Protestanten 's-Gravenhage e.o.
198;;;Religieus;Ver. Vrijzinnige Protestanten te Amsterdam
199;;;Religieus;Ver. van Vrijzinnige Protestanten in Ned.
200;;;Religieus;Protestantse St. Kerkelijk Ontmoetingscentrum
201;;;Religieus;Protestants Christelijke Gemeente Prinsenbeek
202;ABNANL2A NL59ABNA0550414746;NL59ABNA0550414746;Religieus;De Evangelische Omroep (EO)
203;ABNANL2A NL89ABNA0457457457;NL89ABNA0457457457;Religieus; Kerk in Actie
204;ABNANL2A NL87ABNA0513852905;NL87ABNA0513852905;Religieus; Christenen voor Israël
205;ABNANL2A NL38ABNA0529310252;NL38ABNA0529310252;Religieus; Christenen voor Israël (2)
206;SNSBNL2A NL74SNSB0266380808;NL74SNSB0266380808;Religieus; Nederlands Bijbelgenootschap
207;RABONL2U NL79RABO0331803429;NL79RABO0331803429;Religieus; Herv. Gemeente te Katwijk aan Zee
208;INGBNL2A NL85INGB0000215576;NL85INGB0000215576;Religieus; Herv. Gemeente te Katwijk aan Zee
209;RABONL2U NL06RABO0331801736;NL06RABO0331801736;Religieus; Diaconie Herv. Gem. Katwijk aan Zee
210;NGBNL2A NL08INGB0007698184;NL08INGB0007698184;Religieus; Baptistengemeente Katwijk
211;INGBNL2A NL40INGB0668487895;NL40INGB0668487895;Politieke opvattingen;CDA Donatie
212;INGBNL2A NL97INGB0000712000;NL97INGB0000712000;Politieke opvattingen;Stg. Secr.CDA-contributierekening
213;INGBNL2A NL83INGB0003930421;NL83INGB0003930421;Politieke opvattingen;CDA-bestuurdersvereniging
214;RABONL2U NL83RABO0144374137;NL83RABO0144374137;Politieke opvattingen;Stichting Wetenschappelijk Instituut voor het CDA
215;RABONL2U NL76RABO0310532450;NL76RABO0310532450;Politieke opvattingen;Staatkundig Gereformeerde Partij
216;TRIONL2U NL05TRIO0777927144;NL05TRIO0777927144;Politieke opvattingen;Europese Groepen Partij (AGP)
217;TRIONL2U NL05TRIO0777927144;NL05TRIO0777927144;Politieke opvattingen;DWARS
218;TRIONL2U NL05TRIO0777927144;NL05TRIO0777927144;Politieke opvattingen;Hellingproef (wetenschappelijk bureau Groenlinks)
219;INGBNL2A NL05INGB0000683683;NL05INGB0000683683;Politieke opvattingen;Steunfonds SP
220;RABONL2U NL69RABO0387739629;NL69RABO0387739629;Politieke opvattingen;Jonge Socialisten in de PvdA
221;INGBNL2A NL98INGB0670472344;NL98INGB0670472344;Politieke opvattingen;Stichting Vrienden van de PVV
222;ABNANL2A NL29ABNA0630497516;NL29ABNA0630497516;Politieke opvattingen;VVD
223;;0;Politieke opvattingen;Jongerenbeweging OPPOSITIE
224;;0;Politieke opvattingen;Stichting wetenschappelijk instituut STATERA
225;;0;Politieke opvattingen;Stichting Beweging DENK Internationaal
226;INGBNL2A NL38INGB0007808612;NL38INGB0007808612;Politieke opvattingen;Stichting Verspreiding Communistisch (wetenschappelijk-socialistisch) Gedachtegoed
227;SNSBNL2A NL59SNSB0787805548;NL59SNSB0787805548;Politieke opvattingen;Atheïstische Seculiere Partij
228;INGBNL2A NL28INGB0006038445;NL28INGB0006038445;Politieke opvattingen;Atheïstische Seculiere Partij
